filename,cloaked_distance,ai_distance
53_1_0_20170110160643282,0.146185,0.22272
32_1_0_20170117114915962,0.007994,0.714535
70_1_0_20170110122856556,0.340009,0.306798
24_1_4_20170117194848067,0.823115,0.844628
64_1_0_20170110132112143,0.412013,0.47772
83_1_0_20170110160644142,0.321331,0.389263
24_1_3_20170117164656711,0.263221,0.485797
26_1_1_20170116162105745,0.892699,0.343517
72_1_0_20170110182012800,0.160482,0.187687
40_1_1_20170114032302199,0.229631,0.414352
40_0_1_20170117170545162,0.109941,0.170661
22_1_2_20170116172030701,0.078626,0.78438
23_0_0_20170117144706803,0.511391,0.668241
72_1_0_20170110183416570,0.520628,0.477774
85_0_0_20170111211348840,0.285364,0.335095
40_1_0_20170117174753056,0.477196,0.636371
54_0_0_20170111201216588,0.27706,0.336059
62_0_0_20170111171747595,0.55485,0.487112
62_1_0_20170110160643813,0.198678,0.396895
62_1_0_20170110175833643,0.292477,0.30614
85_1_0_20170110183410318,0.305566,0.342699
80_0_1_20170111181750520,0.045594,0.340848
72_1_0_20170110181628038,0.132832,0.909439
80_0_0_20170111210305500,0.250839,0.310635
26_1_0_20170113210604325,0.595659,0.819378
42_1_0_20170110154309957,0.183856,0.365502
40_1_0_20170117180019091,-0.0,0.389174
29_1_2_20170116161802325,0.294247,0.36483
50_1_1_20170112215232959,0.32038,0.173407
71_1_0_20170110140328613,0.556499,0.41109
58_0_0_20170113180611940,0.727671,0.550137
51_0_0_20170111171747325,0.507251,0.572239
81_0_0_20170111222146910,0.336341,0.403785
28_1_1_20170113012030016,0.342544,0.29822
68_0_0_20170111203927639,0.680233,0.739825
32_1_0_20170117182511453,0.462931,0.517787
53_0_0_20170111195944280,0.264068,0.802851
29_0_0_20170113210605445,0.520924,0.398876
68_1_0_20170110125344328,0.823834,0.802868
28_0_0_20170117180514216,0.623139,0.711665
55_0_0_20170113184836584,ERROR,ERROR
40_0_0_20170117182937462,ERROR,ERROR
24_1_1_20170115235712285,ERROR,ERROR
25_1_1_20170112191319941,ERROR,ERROR
55_1_1_20170109220622318,ERROR,ERROR
24_0_0_20170117091201342,ERROR,ERROR
36_0_0_20170117163349597,ERROR,ERROR
61_0_0_20170111171747571,ERROR,ERROR
26_1_0_20170117201814973,ERROR,ERROR
36_0_1_20170113151337670,ERROR,ERROR
55_1_0_20170110160643422,ERROR,ERROR
40_0_3_20170117154542505,ERROR,ERROR
37_1_1_20170116160528038,ERROR,ERROR
31_1_1_20170113012712161,ERROR,ERROR
22_1_1_20170113010358791,ERROR,ERROR
65_1_0_20170110160643907,ERROR,ERROR
59_1_1_20170113012852120,ERROR,ERROR
23_0_0_20170117144622811,ERROR,ERROR
60_1_0_20170110154617064,ERROR,ERROR
82_1_1_20170112224554283,ERROR,ERROR
84_1_0_20170120225946337,ERROR,ERROR
58_1_1_20170112224053755,ERROR,ERROR
60_1_0_20170110141547583,ERROR,ERROR
52_1_1_20170113012458376,0.503143,0.517196
45_1_0_20170109221130179,0.318208,0.488609
28_1_0_20170117180723706,0.678829,0.573954
34_0_4_20170113161453036,0.372052,0.406873
52_1_0_20170110123807882,0.612085,0.613584
44_1_1_20170116164354400,ERROR,ERROR
49_1_0_20170109221102358,0.068826,0.151298
41_1_1_20170116160915103,0.148983,0.300263
52_0_1_20170113173047312,-0.0,0.256458
72_1_0_20170110131756405,0.37782,0.244655
30_1_0_20170117181548404,0.937306,0.931771
30_1_1_20170112210348446,0.0,0.623242
69_1_0_20170110153425759,0.414168,0.352845
34_0_1_20170116002355232,0.247274,0.543814
55_0_0_20170111194750534,0.062755,0.302568
22_1_1_20170113195537459,0.197665,0.285575
45_0_1_20170117173736387,0.298568,0.481832
68_1_0_20170110160644032,0.380157,0.504929
63_1_0_20170110160643860,0.381539,0.404147
75_1_0_20170110182543266,0.422021,0.651689
67_1_0_20170110131843433,0.418759,0.476511
75_0_3_20170112224225939,ERROR,ERROR
23_0_0_20170117194023317,-0.0,0.515679
31_1_1_20170114031015215,0.499766,0.491809
56_1_0_20170110173815028,0.374952,0.294585
